threshold,precision,recall,f1,accuracy
0.0,0.06429022957095,1.0,0.12081334167065967,0.06429022957095021
0.01,0.18293839361297962,0.9818594660693382,0.3084136736401823,0.7169018199857975
0.02,0.22850436761835788,0.9551582310852273,0.3687838541297962,0.7897884883968002
0.03,0.25948154145880453,0.9339614698786088,0.4061287544776038,0.8243967736950562
0.04,0.2874287344684127,0.924429548675766,0.4385126858095985,0.8478028296601519
0.05,0.3105649250397827,0.9128976837656155,0.46346165168788556,0.8641110820887219
0.06,0.3315575511652419,0.8943299573599537,0.48376681960437323,0.8772892563809205
0.07,0.3519961266370402,0.8815905499639209,0.5031125331576501,0.8880472400352488
0.08,0.3700887854515537,0.8688032622244266,0.5190675728626193,0.8964961326346633
0.09,0.3879745950689884,0.8588408632769319,0.5344951956252081,0.9038237069831575
0.1,0.40465358006292906,0.8448747523059436,0.5472170328098712,0.9101128152414678
0.11,0.41863550717668785,0.8323377918194769,0.5570800814058612,0.914909286120866
0.12,0.43154061718735215,0.819622576361411,0.5653945612969404,0.9189911597036851
0.13,0.4474243066930639,0.8087210938259656,0.5761139985285602,0.9234906715916362
0.14,0.4607126972700505,0.7997799862970688,0.5846424965621884,0.9269404177586837
0.15,0.472707095913923,0.786890264386932,0.5906151019440703,0.9298679692542908
0.16,0.4854353095393398,0.7783305726363534,0.5979416722363021,0.9327070910717552
0.17,0.4974016965825819,0.7655294164935675,0.6030030088027696,0.9351955853638098
0.18,0.5073626241936797,0.7520441745592945,0.6059346452500994,0.9371130121428243
0.19,0.5191162686990614,0.7438640567771407,0.6114931892195531,0.9392319138251985
0.2,0.5292434157843221,0.733820069903422,0.6149642433140375,0.9409233642478639
0.21,0.53963258903939,0.7264019690742579,0.6192408773405141,0.9425694883852946
0.22,0.5511805239774727,0.7145256946657367,0.622312889010536,0.9442408440052077
0.23,0.5606831897809518,0.7075122772910284,0.6255979472259126,0.9455557701349248
0.24,0.5694775460703588,0.700107375726446,0.6280720942246126,0.9466924292204264
0.25,0.5787115343177371,0.6907530470702589,0.6297879618943129,0.9477899675591352
0.26,0.5871865542720801,0.6855730339534838,0.6325770730515348,0.9487986391228156
0.27,0.5908756618236207,0.675130363494476,0.6301993708865452,0.9490607797072257
0.28,0.5953944084148641,0.6665842738344586,0.6289813844888857,0.9494422260161273
0.29,0.6020148437512719,0.654896094541037,0.6273430487669948,0.9499790991146234
0.3,0.608851170458818,0.6434415789326416,0.6256686523903953,0.9505010604183388
0.31,0.6132882560753742,0.6372701349919312,0.6250492460484961,0.9508460374809447
0.32,0.6237752137794556,0.6327220394644266,0.6282167739101144,0.9518531146049641
0.33,0.6312838296138475,0.6234712035160384,0.627353194237105,0.9523813958289591
0.34,0.6385289087683211,0.6136978888452148,0.6258672055646185,0.9528292063364749
0.35000000000000003,0.6439490045181564,0.6048591393976093,0.6237922816029804,0.9530952393564186
0.36,0.6527693189049475,0.5968366250418594,0.6235511908587502,0.953669791702794
0.37,0.6582782888118307,0.5884907242280037,0.6214313363177372,0.9539036957996005
0.38,0.6648797479445601,0.5791127541626871,0.6190396507485899,0.9541753231705032
0.39,0.6721004465914001,0.5717025554364795,0.617849518291627,0.9545329471236179
0.4,0.6768143884181587,0.5629317381144063,0.6146424528361937,0.9546192130426865
0.41000000000000003,0.6860410275669254,0.5560778398274244,0.6142603943255064,0.9550993861288176
0.42,0.6882570211403243,0.5483940148411419,0.6104163908554778,0.9549969271945046
0.43,0.7005040005438105,0.5430405426198414,0.6118028898183492,0.955695483553327
0.44,0.707336952458922,0.5361546912810278,0.6099631264696892,0.9559174034549031
0.45,0.7128300446489286,0.5283807227923093,0.6069003977400741,0.9559944838649242
0.46,0.7173142888017809,0.51862626261523,0.6019998749862996,0.9559124175577721
0.47000000000000003,0.7249514575425161,0.5127516141421598,0.6006610770120768,0.9561677100511758
0.48,0.7305803055878537,0.504999716041252,0.5971978186904447,0.9562034695545693
0.49,0.7363272341590396,0.4985106303884826,0.5945184614294831,0.9562825183393422
0.5,0.7431323111670721,0.4923272807021673,0.5922724018925654,0.9564209773386
0.51,0.746499515532548,0.48055528451210455,0.584707850149541,0.9561132796910079
0.52,0.7551915175122975,0.4767194479774814,0.5844813357962206,0.9564229596693749
0.53,0.762030784117743,0.47006694477667654,0.5814562824288719,0.9564930694055894
0.54,0.7661213048831378,0.46249536053570595,0.5767910514142662,0.9563666376206434
0.55,0.7733685659871457,0.4537275263638004,0.5719170790293922,0.9563318357594068
0.56,0.7746876325201241,0.44475083363549395,0.5650846351544625,0.9559867949595001
0.5700000000000001,0.779212482130851,0.4395735888283645,0.5620694810871002,0.9559625898921542
0.58,0.7838450325315128,0.4313867886108019,0.5565035172210152,0.9557957446298294
0.59,0.7883307251919724,0.4240207194706057,0.5514383848814041,0.9556506596849212
0.6,0.7941999277260785,0.4137155156148906,0.544032836755038,0.9554153630072199
0.61,0.7954575208970615,0.40358614306113394,0.5354861419608974,0.9549845435980381
0.62,0.7989375471105519,0.39414073768899255,0.5278678494068714,0.9546721978753981
0.63,0.8043390088372643,0.38505492387879003,0.5207941411191187,0.9544431504746022
0.64,0.8102289379523532,0.37629072856822926,0.5139091175171261,0.9542354029863399
0.65,0.8118482966416815,0.36809767335837984,0.5065307678685511,0.953890300319527
0.66,0.8151307232657624,0.35796144604921204,0.49746367770870054,0.9535038164618217
0.67,0.819095098850611,0.34897803507874303,0.48943202242472467,0.9531904725238446
0.68,0.8235569259992906,0.3439550591940791,0.48524824554133145,0.9530851280019267
0.6900000000000001,0.8230760003083075,0.33048484043090476,0.4716077921821431,0.952389587151212
0.7000000000000001,0.825845495150425,0.323238439699491,0.4646222981442051,0.9521085259403782
0.71,0.8288442369571535,0.3169184536789847,0.45851734580632725,0.9518771566602062
0.72,0.8368659702971006,0.3115800381976144,0.45409314684845137,0.9518364824785625
0.73,0.8394097751215267,0.30431383185556116,0.4466883495382184,0.9515312461267
